session_id,timestamp,visitor_id,x1,y1,x2,y2,cx,cy,zone
20250917-144018,2025-09-17T14:40:21.121400,1,627,337,1473,1072,1050,704,None
20250917-144018,2025-09-17T14:40:21.294107,1,626,335,1473,1072,1049,703,None
20250917-144018,2025-09-17T14:40:21.448416,1,627,336,1474,1072,1050,704,None
20250917-144018,2025-09-17T14:40:21.587222,1,627,336,1473,1073,1050,704,None
20250917-144018,2025-09-17T14:40:21.749599,1,626,338,1473,1074,1049,706,None
20250917-144018,2025-09-17T14:40:21.888886,1,624,339,1473,1073,1048,706,None
20250917-144018,2025-09-17T14:40:22.051803,1,624,340,1473,1073,1048,706,None
20250917-144018,2025-09-17T14:40:22.193892,1,625,340,1473,1073,1049,706,None
20250917-144018,2025-09-17T14:40:22.352340,1,626,339,1472,1073,1049,706,None
20250917-144018,2025-09-17T14:40:22.486339,1,627,341,1472,1073,1049,707,None
20250917-144018,2025-09-17T14:40:22.637857,1,627,340,1473,1073,1050,706,None
20250917-144018,2025-09-17T14:40:22.783487,1,627,341,1472,1073,1049,707,None
20250917-144018,2025-09-17T14:40:22.923336,1,626,341,1472,1073,1049,707,None
20250917-144018,2025-09-17T14:40:23.091706,1,627,340,1472,1073,1049,706,None
20250917-144018,2025-09-17T14:40:23.254689,1,626,341,1472,1073,1049,707,None
20250917-144018,2025-09-17T14:40:23.421619,1,626,340,1472,1073,1049,706,None
20250917-144018,2025-09-17T14:40:23.595282,1,627,338,1473,1072,1050,705,None
20250917-144018,2025-09-17T14:40:23.756661,1,626,341,1473,1073,1049,707,None
20250917-144018,2025-09-17T14:40:23.922925,1,625,342,1473,1073,1049,707,None
20250917-144018,2025-09-17T14:40:24.085603,1,624,340,1472,1073,1048,706,None
20250917-144018,2025-09-17T14:40:24.252252,1,626,338,1473,1072,1049,705,None
20250917-144018,2025-09-17T14:40:24.384492,1,625,338,1473,1073,1049,705,None
20250917-144018,2025-09-17T14:40:24.522390,1,625,339,1473,1072,1049,705,None
20250917-144018,2025-09-17T14:40:24.688289,1,625,342,1472,1073,1048,707,None
20250917-144018,2025-09-17T14:40:24.857751,1,624,341,1472,1073,1048,707,None
20250917-144018,2025-09-17T14:40:25.020022,1,625,341,1472,1073,1048,707,None
20250917-144018,2025-09-17T14:40:25.157363,1,624,341,1472,1073,1048,707,None
20250917-144018,2025-09-17T14:40:25.318912,1,622,339,1472,1072,1047,705,None
20250917-144018,2025-09-17T14:40:25.498221,1,625,339,1472,1073,1048,706,None
20250917-144018,2025-09-17T14:40:25.652695,1,624,339,1472,1073,1048,706,None
20250917-144018,2025-09-17T14:40:25.795832,1,623,339,1472,1073,1047,706,None
20250917-144018,2025-09-17T14:40:25.955029,1,625,338,1472,1073,1048,705,None
20250917-144018,2025-09-17T14:40:26.122628,1,623,340,1473,1073,1048,706,None
20250917-144018,2025-09-17T14:40:26.280170,1,624,337,1474,1072,1049,704,None
20250917-144018,2025-09-17T14:40:26.434347,1,626,339,1473,1073,1049,706,None
20250917-144018,2025-09-17T14:40:26.584820,1,625,338,1473,1073,1049,705,None
20250917-144018,2025-09-17T14:40:26.728047,1,624,341,1473,1073,1048,707,None
20250917-144018,2025-09-17T14:40:26.888263,1,622,340,1473,1073,1047,706,None
20250917-144018,2025-09-17T14:40:27.051733,1,624,339,1473,1073,1048,706,None
20250917-144018,2025-09-17T14:40:27.221747,1,623,340,1474,1073,1048,706,None
20250917-144018,2025-09-17T14:40:27.431950,1,623,339,1473,1073,1048,706,None
20250917-144018,2025-09-17T14:40:27.614231,1,623,339,1473,1073,1048,706,None
20250917-144018,2025-09-17T14:40:27.779593,1,625,339,1472,1073,1048,706,None
20250917-144018,2025-09-17T14:40:27.926524,1,628,340,1471,1073,1049,706,None
20250917-144018,2025-09-17T14:40:28.092116,1,627,339,1472,1073,1049,706,None
20250917-144018,2025-09-17T14:40:28.259851,1,627,339,1474,1073,1050,706,None
20250917-144018,2025-09-17T14:40:28.423994,1,626,337,1473,1072,1049,704,None
20250917-144018,2025-09-17T14:40:28.584415,1,626,337,1473,1072,1049,704,None
20250917-144018,2025-09-17T14:40:28.726250,1,626,339,1472,1073,1049,706,None
20250917-144018,2025-09-17T14:40:28.892157,1,626,338,1473,1072,1049,705,None
20250917-144018,2025-09-17T14:40:29.059504,1,624,339,1473,1073,1048,706,None
20250917-144018,2025-09-17T14:40:29.219937,1,626,340,1473,1073,1049,706,None
20250917-144018,2025-09-17T14:40:29.359131,1,624,336,1472,1072,1048,704,None
20250917-144018,2025-09-17T14:40:29.523486,1,625,339,1473,1073,1049,706,None
20250917-144018,2025-09-17T14:40:29.689671,1,624,338,1474,1073,1049,705,None
20250917-144018,2025-09-17T14:40:29.854113,1,621,341,1473,1073,1047,707,None
20250917-144018,2025-09-17T14:40:30.022488,1,622,338,1473,1073,1047,705,None
20250917-144018,2025-09-17T14:40:30.189096,1,622,338,1473,1072,1047,705,None
20250917-144018,2025-09-17T14:40:30.356832,1,622,338,1472,1073,1047,705,None
20250917-144018,2025-09-17T14:40:30.521475,1,626,336,1473,1072,1049,704,None
20250917-144018,2025-09-17T14:40:30.687850,1,626,340,1471,1073,1048,706,None
20250917-144018,2025-09-17T14:40:30.830158,1,627,339,1471,1073,1049,706,None
20250917-144018,2025-09-17T14:40:30.990678,1,626,340,1471,1073,1048,706,None
20250917-144018,2025-09-17T14:40:31.159975,1,626,340,1471,1073,1048,706,None
20250917-144018,2025-09-17T14:40:31.323046,1,626,341,1472,1073,1049,707,None
20250917-144018,2025-09-17T14:40:31.489728,1,625,340,1473,1073,1049,706,None
20250917-144018,2025-09-17T14:40:31.656400,1,624,338,1474,1072,1049,705,None
